AC11641 	 n1(cc(c2c1ccc(c2)OC)CCN(C)C)[H]
CC21501 	 c1(c(nns1)c1ccccc1)C(=O)O
CC21709 	 c1(c(nc2n1cccc2)C)CO
CC21746 	 c1ccn2c(c1)nc(c2CNC)C
CC21901 	 n1(c2cc(C(=O)O)ccc2)cccc1
CC21913 	 n1(c2cc(CN)ccc2)cccc1
CC21914 	 n1(c2cc(N)ccc2)cccc1
CC22101 	 c1(c(n2cccc2)ccs1)C(=O)O
CC22109 	 c1(n2cccc2)c(scc1)CO
CC22901 	 c12c(cc(s1)C(=O)O)c(nn2C)C
CC22909 	 c12c(c(nn1C)C)cc(s2)CO
CC23109 	 c1(cc(no1)CO)c1sccc1
CC23501 	 n1nc2c(n1C)ccc(C(=O)O)c2
CC23509 	 n1nc2c(n1C)ccc(c2)CO
CC23513 	 n1nn(C)c2c1cc(cc2)CN
CC23709 	 n1(c(ncc1)CO)Cc1ccccc1
CC23909 	 C1(Cc2c(O1)cccc2)CO
CC23963 	 c1ccc2c(c1)CC(O2)CN
CC24101 	 C\1(=C\c2c(OC1)cccc2)/C(=O)O
CC24201 	 c1(C(=O)O)cc(c2ccccc2)cnc1
CC24309 	 N1(c2c(CO)cccc2)CCOCC1
CC24313 	 N1(c2c(CN)cccc2)CCOCC1
CC24401 	 c1ccn(n1)c1ccccc1C(O)=O
CC24409 	 c1ccn(n1)c1ccccc1CO
CC24501 	 c1(n(ncc1)c1ccccc1)C(=O)O
CC24601 	 c1(c(C(=O)O)cccn1)N1CCOCC1
CC24614 	 c1(N2CCOCC2)ncccc1N
CC24813 	 c1cc2c(s1)ccc(c2)CN
CC25501 	 n1(c2ccc(C(=O)O)cc2)cccc1
CC25513 	 n1(c2ccc(cc2)CN)cccc1
CC25801 	 C1(C(=O)O)Cc2c(OC1)cccc2
CC26523 	 C(c1cnn2c1cccc2)(=O)OCC
CC26809 	 n1c(CO)c(oc1C)C
CC26813 	 n1c(CN)c(oc1C)C
CC26823 	 n1c(C(OCC)=O)c(oc1C)C
CC26846 	 o1c(c(nc1C)CNC)C
CC27209 	 c12OC(Cc1cccc2CO)(C)C
CC27623 	 C1CNC(CS1)C(=O)OCC
CC27701 	 n1c2c(nc(c1C)C)ccc(C(=O)O)c2
CC28101 	 c1(c(n(nc1)C)c1ccccc1)C(=O)O
CC28401 	 c1c(nc2c(c1)cc(cc2)C(O)=O)C
CC28409 	 c1c(nc2c(c1)cc(cc2)CO)C
CC29209 	 n1c(sc(c1C)CO)c1ccccc1
CC29213 	 n1c(C)c(sc1c1ccccc1)CN
CC29309 	 C1OCCN(C1)Cc1ccc(cc1)CO
CC29313 	 N1(CCOCC1)Cc1ccc(cc1)CN
CC29314 	 c1(ccc(cc1)N)CN1CCOCC1
CC29709 	 c1ccc2c(c1)OC(CN2)CO
CC30013 	 c1cc(ccc1CN)N1CCN(CC1)C(OC(C)(C)C)=O
CC30109 	 c1cc(ccc1N1CCCC1)CO
CC30113 	 C1CCCN1c1ccc(cc1)CN
CC30414 	 N1(CCN(CC1)C(=O)OC(C)(C)C)Cc1cccc(c1)N
CC30501 	 c1ccc(cc1)c1onc(c1)C(O)=O
CC30513 	 c1ccc(cc1)c1onc(c1)CN
CC30546 	 c1ccc(cc1)c1onc(c1)CNC
CC30713 	 c1ccc(c(c1)N1CCN(CC1)C(OC(C)(C)C)=O)CN
CC31309 	 c1cccn2c1nc(c2)CO
CC31323 	 c1cccn2c1nc(c2)C(=O)OCC
CC31614 	 n1c(c2cc(N)ccc2)ccnc1C
CC32523 	 s1ccn2c1nc(c2)C(=O)OCC
CC32913 	 c1(cc(ccc1)n1nccc1)CN
CC33101 	 c1c(cn2ccnc2c1)C(O)=O
CC33109 	 c1c(cn2ccnc2c1)CO
CC33146 	 c1c(cn2ccnc2c1)CNC
CC33513 	 c12c(scc1CN)ccc(c2)Br
CC33809 	 c1c(cc(cc1)CO)N1CCOCC1
CC33814 	 c1c(cc(cc1)N)N1CCOCC1
CC33946 	 c1c(ccc(c1)N1CCCCC1)CNC
CC34014 	 C1N(CCCC1)c1cccc(c1)N
CC34046 	 C1N(CCCC1)c1cccc(c1)CNC
CC34301 	 c1cccc(c1n1cccc1)C(O)=O
CC34309 	 n1(cccc1)c1ccccc1CO
CC34313 	 c1cccc(c1n1cccc1)CN
CC34409 	 c1(ccco1)c1ccc(cc1)CO
CC34413 	 c1(ccco1)c1ccc(cc1)CN
CC34414 	 c1(ccco1)c1ccc(cc1)N
CC34809 	 o1nc(nc1C)c1ccc(cc1)CO
CC34846 	 c1(onc(n1)c1ccc(cc1)CNC)C
CC34913 	 c1(cc(no1)CN)c1occc1
CC34946 	 o1c(ccc1)c1onc(c1)CNC
CC35001 	 n1c(cc(n1[H])c1occc1)C(O)=O
CC35009 	 n1c(cc(n1[H])c1occc1)CO
CC35023 	 n1c(cc(n1[H])c1occc1)C(OCC)=O
CC35409 	 c1(c2ccncc2)ccc(cc1)CO
CC35446 	 n1ccc(cc1)c1ccc(cc1)CNC
CC35509 	 c1ccc(c(c1)CO)c1sccc1
CC35514 	 c1ccc(s1)c1ccccc1N
CC35546 	 c1ccc(c(c1)CNC)c1sccc1
CC35609 	 c1ccc(cc1c1ccncc1)CO
CC35614 	 c1cc(cc(c1)N)c1ccncc1
CC35646 	 c1cnccc1c1cc(ccc1)CNC
CC35714 	 o1cncc1c1c(cccc1)N
CC35801 	 c1cc(cc(c1)c1ocnc1)C(O)=O
CC35822 	 o1cncc1c1cc(ccc1)C(OC)=O
CC35901 	 N1(CCN(CC1)c1cc(ccc1)C(O)=O)C
CC35913 	 N1(CCN(CC1)c1cc(ccc1)CN)C
CC36009 	 N1(CCN(CC1)c1ccccc1CO)C
CC36014 	 c1cc(c(cc1)N1CCN(CC1)C)N
CC36901 	 c1cncc(c1)\C\1=N\C(CS1)C(O)=O
CC37113 	 c1(ccc2c(c1)N(CCN2C)C)CN
CC38509 	 c1cc(cc(c1)N1CCCC1)CO
CC38513 	 c1cc(cc(c1)N1CCCC1)CN
CC39109 	 c1(nc(on1)C)c1cc(ccc1)CO
CC39146 	 c1cc(cc(c1)c1nc(on1)C)CNC
CC39222 	 c1coc2c1n(c(c2)C(OC)=O)[H]
CC39801 	 c1cncc(c1)c1cc(ccc1)C(O)=O
CC39814 	 c1cncc(c1)c1cc(ccc1)N
CC39846 	 c1cncc(c1)c1cc(ccc1)CNC
CC40001 	 c1(c2cccnc2)ccc(cc1)C(O)=O
CC40009 	 c1(c2cccnc2)ccc(cc1)CO
CC40014 	 c1cncc(c1)c1ccc(cc1)N
CC40109 	 c1ccc(cc1CO)CN1CCOCC1
CC40114 	 c1cc(cc(c1)CN1CCOCC1)N
CC40122 	 c1cc(cc(c1)CN1CCOCC1)C(=O)OC
CC40146 	 c1(cccc(c1)CN1CCOCC1)CNC
CC40151 	 c1(cccc(c1)CN1CCOCC1)C(=O)O
CC40801 	 o1cc(c2c1cccc2)CC(=O)O
CC40901 	 s1ccc2c1cc(n2C)C(O)=O
CC40909 	 s1ccc2c1cc(n2C)CO
CC40996 	 c12c(cc(n1C)CNC)scc2
CC41401 	 c1(ccc2c(c1)ccn2C)C(=O)O
CC41509 	 c1cnc(cc1)c1ccc(cc1)CO
CC41546 	 c1cnc(cc1)c1ccc(cc1)CNC
CC41601 	 c1cnc(cc1)c1cccc(c1)C(O)=O
CC41701 	 c1ncncc1c1cc(ccc1)C(O)=O
CC41709 	 c1ncncc1c1cc(ccc1)CO
CC41714 	 c1ncncc1c1cc(ccc1)N
CC41801 	 c1cncc(c1)c1c(cccc1)C(O)=O
CC41814 	 c1cncc(c1)c1c(cccc1)N
CC41914 	 c1cccc(c1N)OCCN1CCOCC1
CC42014 	 c1cc(cc(c1)OCCN1CCOCC1)N
CC42114 	 c1c(ccc(c1)OCCN1CCOCC1)N
CC42401 	 C1CN(C(CS1)C(=O)O)C(OC(C)(C)C)=O
CC42809 	 c1cccc(c1)Oc1ccc(o1)CO
CC43101 	 c1cnc(cc1C(O)=O)N1CCOCC1
CC43109 	 c1cnc(cc1CO)N1CCOCC1
CC43113 	 c1cnc(cc1CN)N1CCOCC1
CC43146 	 c1cnc(cc1CNC)N1CCOCC1
CC43214 	 n1(cncc1)Cc1cccc(c1)N
CC43314 	 n1(cncc1)Cc1ccc(cc1)N
CC43322 	 n1(cncc1)Cc1ccc(cc1)C(=O)OC
CC43501 	 s1c(ccc1)c1n(nc(c1)C(O)=O)[H]
CC43509 	 s1c(ccc1)c1n(nc(c1)CO)[H]
CC44009 	 c1coc2c1n(c(c2)CO)C
CC44022 	 c1coc2c1n(c(c2)C(OC)=O)C
CC44301 	 c1ncncc1c1ccc(cc1)C(O)=O
CC44309 	 c1ncncc1c1ccc(cc1)CO
CC44346 	 c1ncncc1c1ccc(cc1)CNC
CC44401 	 c12c(nn(c1C(O)=O)C)cccc2
CC44423 	 c12c(nn(c1C(OCC)=O)C)cccc2
CC44914 	 N1(CCNCC1)c1ccccc1N
CC45222 	 c1cc(cc(c1)CN1CCCCC1)C(=O)OC
CC45246 	 c1cc(cc(c1)CN1CCCCC1)CNC
CC45309 	 C1N(CCN(C1)Cc1cccc(c1)CO)C
CC45401 	 n1cncn1Cc1cccc(c1)C(O)=O
CC45414 	 c1ncnn1Cc1cc(ccc1)N
CC45509 	 c1c(ccc(c1)CN1CCCCC1)CO
CC45513 	 c1c(ccc(c1)CN1CCCCC1)CN
CC45514 	 c1c(ccc(c1)CN1CCCCC1)N
CC45522 	 c1cc(ccc1CN1CCCCC1)C(=O)OC
CC45596 	 c1c(ccc(c1)CN1CCCCC1)CNC
CC45609 	 c1c(ccc(c1)CN1CCN(CC1)C)CO
CC45613 	 c1c(ccc(c1)CN1CCN(CC1)C)CN
CC45622 	 c1c(ccc(c1)CN1CCN(CC1)C)C(OC)=O
CC45709 	 c1c(ccc(c1)Cn1cncn1)CO
CC45714 	 c1ncnn1Cc1ccc(cc1)N
CC46501 	 c1ccc(cc1)c1n(nc(c1)C(O)=O)C
CC46601 	 c1ccc(cc1)c1nn(c(c1)C(O)=O)C
CC46901 	 o1c(ccc1)c1n(nc(c1)C(O)=O)C
CC46923 	 o1c(ccc1)c1n(nc(c1)C(OCC)=O)C
CC47023 	 o1c(ccc1)c1nn(c(c1)C(OCC)=O)C
CC47101 	 n1(nc(cc1c1sccc1)C(O)=O)C
CC47414 	 c1ccc(c(c1)CN1CCN(CC1)C)N
CC47801 	 s1c(c2c(c1)OCCO2)C(O)=O
CC47809 	 s1c(c2c(c1)OCCO2)CO
CC47846 	 s1cc2c(c1CNC)OCCO2
CC48009 	 n1(nc(c(c1C)CO)C)c1ccccc1
CD02571 	 c1(c(cccc1)C(NN)=O)n1cccc1
CD04045 	 n1(cccc1)Cc1cnccc1
CD04786 	 n1(cccc1)Cc1ncccc1
CD09182 	 C/1(=C(/c2c(C1=O)cccc2)\N)\c1ccccc1
CD09967 	 C(c1ccc(cc1)F)(=O)C1CCNCC1
CD11371 	 C1(C(CC(=O)OCC)NCCN1)=O
CD11596 	 c1(c(onc1)N)c1ncccc1
DFP00120 	 n1coc(c1)c1ccc(N)cc1
DFP00358 	 N1(C(CC(C1)C(=O)O)=O)Cc1sccc1
DFP00359 	 N1(C(CC(C1)C(=O)O)=O)Cc1occc1
GK00309 	 n1c(sc2c1cccc2)CC#N
GK00722 	 c1(c(C(=O)OCC)cn(n1)[H])C(F)(F)F
GK02837 	 c12c(ncnc1NN)scc2
GK03066 	 c1(n(ncc1)C)N
GL5243100 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)Cc3cc[nH]c3
GL5243102 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)Cc3c[nH]cn3
GL5243104 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)c3ccncc3
GL5243106 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)c3ccc(cc3)N
HAN00371 	 n1c(snc1c1ccccc1)N1CCNCC1
HTS07422 	 c1(c(sc2c1CCN(C2)C)N)C#N
HTS07558 	 C=1\2/N(C(/C(=C(\C1\C#N)/C)/CCO)=O)c1c(N2)cccc1
HTS10971 	 C=1(/S/C=2/N(\C1\C)CC\N2)\C(=O)OCC
HTS12600 	 n1c(ncc(c1N)C#N)N1CCCCC1
KM00085 	 n12c(cc(n1)C)N\C(=C/C2=O)\C
KM00168 	 c1(cc(n(n1)[H])N)c1occc1
KM00316 	 c1c(nn(c1N)[H])C(C)(C)C
KM00409 	 C1(C(=O)OC)C(=O)CSC1
KM00494 	 n1n(c(cc1C(C)(C)C)N)C
KM01136 	 n1n(c(cc1c1ccccc1)N)C
KM01494 	 n12c(ncc(c1C)C(=O)OCC)cc(n2)C
KM01560 	 n12c(ncc(c1C)C(=O)O)cc(n2)C
KM01757 	 c1(S(=O)(=O)c2ccccc2)c(c(sc1)C(=O)O)N
KM01974 	 c1(c(c(sc1)C(=O)OC)n1cccc1)S(=O)(=O)C
KM03152 	 s1c(C(=O)N)ccc1c1ncccc1
KM03628 	 N1C(C(Sc2c1cccc2)CC(=O)OCC)=O
KM06801 	 N1C(C(Sc2c1cccc2)CC(=O)OCC)=S
KM06872 	 c12c(non1)ccc(c2)O
KM06914 	 N/1=C(/c2c(C(N1)=O)cccc2)\CC(=O)O
KM07844 	 C1(N(CCN(C1)C)C)C(=O)OCC
KM08380 	 C1(c2c(CO1)ccc(c2)N)=O
KM09623 	 N1(Cc2ccccc2)CCC(CC1)CO
KM10095 	 n1n(c2c(n1)cccc2)C1CCNCC1
KM10174 	 n1nc2c(s1)ccc(C(=O)OC)c2
KM10245 	 C(c1cc2c(nccc2)cc1)(=O)OC
KM10480 	 n1n(c2c(n1)cc(C(=O)O)cc2)C(C)C
KM10833 	 n1c(CC(=O)O)c2c(o1)cccc2
KM10844 	 c1(c2c(oc1)cc(cc2)OC)CC(=O)O
KM10848 	 c1(c(cc(n1[H])C)C)C(=O)OCC
MO00015 	 c1(n2c(nc1C)scc2)C(=O)O
MO00117 	 n1nc2c(n1C)ccc(C(=O)OCC)c2
MO00124 	 S1(CCN(CC1)Cc1ccc(N)cc1)(=O)=O
MO00127 	 N1(C(CC(C1)C(=O)O)=O)Cc1ccc(F)cc1
MO00205 	 n1(nccc1)c1c(N)cccc1
MO00298 	 n1c2cc(C(=O)OC)ccc2n(c1)[H]
MO00345 	 n1c(c2c(o1)cccc2OC)N
MO00470 	 n1(c(ccc1C)C)CCN1CCNCC1
MO00759 	 c1(sc2c(c1N)cccn2)C(=O)O
MO00789 	 c1(c2c(OCCO2)ccc1)C(=O)N
MO00936 	 c1c(sc2c1cc(cc2)N)C(=O)OC
MO00997 	 C1(Cc2c(N1)cccc2)C(=O)OC
MO01011 	 n1ccn(c1c1ccccc1)CCC#N
MO01098 	 C1(Cc2c(N1)cccc2)CO
MO01168 	 C(N1CCN(CC1)C)(C1CNCCC1)=O
MO01173 	 N1(CCCCCC1)C(=O)C1CCNCC1
MO07019 	 Nc1nc(sn1)c1ccccc1
MO07029 	 Cl.N1CCC(CC1)c1noc2c1cc(cc2)F
MO07110 	 C1CCCN1S(=O)(=O)c1cccc(c1)N
MO07111 	 O=S(=O)(N1CCCCC1)c1cccc(c1)N
MO07475 	 c1(c(c2c(s1)nccn2)N)C(=O)O
NRB00998 	 c12c(cc(NC(=O)C)cc1)CCCC2=O
NRB00999 	 c12c(cc(cc1)N)CCCC2=O
NRB04272 	 c1(Cc2ccc(cc2)N)ccc(cc1)N
PD00830 	 c1(c2c(no1)cccc2)C(=O)O
RDP00059 	 C(c1cc2nccnc2cc1)(=O)OC
RF01278 	 n1c(c2c(o1)cccc2)O
RF03951 	 c1(c(C(F)(F)F)ccnc1)C(=O)OC
RH01231 	 c1(nc(sc1)N)C(=O)OCC
RH01882 	 c12c(n(cc1CC(O)=O)[H])cccc2
RH02006 	 C1(C2\C=C/C(C1)C2)(C(=O)O)C
RH02144 	 N\1(C(/C(=C(\C=N1)/OC)/Cl)=O)Cc1ccccc1
RJC02157 	 c12c(nnc(c1)C)cccc2N
RJC03579 	 n1c(CO)cccc1C
RJC03989 	 C12(NC(c3ccccc3)CC(C1)O)CCCC2
RJF01106 	 c12OC(\C=C(/c1ccc(c2)N)\COC)=O
RJF01996 	 c12c(\C(=C/C(O1)=O)\COC)cc(c(c2)O)Cl
S08696 	 N1(c2c(O)cccc2)CCOCC1
SB00117 	 c12cc(N)ccc1OCO2
SB00353 	 c12cc(N)ccc1OCCO2
SB00555 	 c1(cc(ccc1N)F)F
SB00621 	 n1c(cc(o1)C)N
SB01054 	 C(Oc1c(N)cccc1)(F)(F)F
SB01062 	 N1(/N=C(\CC1=O)/N)c1ccccc1
SB01177 	 N1(Cc2ccccc2)CCC(CC1)N
SB01297 	 c1(c(c(cs1)C)N)C(=O)OC
SB01317 	 n1c(N)ccc(c1)C
SB01321 	 n1ccc(N)cc1
SB01577 	 C12(CC3CC(C1)CC(C2)C3)O
SB01719 	 C(Oc1cc(N)ccc1)(F)(F)F
SB01761 	 c12c(CC(C1)N)cccc2
SB01810 	 C(=O)(C1CCNCC1)OCC
SB01949 	 S(c1cc(N)ccc1)(=O)(=O)N
SB02047 	 N1(C(=O)C)CCN(c2ccc(cc2)O)CC1
SB02112 	 n1c(scc1c1ccc(cc1)F)CC(=O)N
SEW00757 	 n1nc(cs1)c1ccc(N)cc1
SEW00990 	 n1coc(c2cc(N)ccc2)c1
SEW01125 	 n1nc(cs1)c1ccc(C(=O)N)cc1
SEW01371 	 N/12C(\C(=C/N=C1/SCC2)\C(=O)OCC)=O
SEW01382 	 N/12C(\C(=C/N=C1/SCC2)\C(=O)O)=O
SEW02412 	 c1(c2c(oc1)CCCC2=O)C(=O)O
SEW02738 	 c12c(OCC1=O)cc(cc2)O
SEW04169 	 n1(nc(cc1C)C)c1ccc(N)cc1
SP01488 	 c1(S(=O)(=O)N)n(c(cc1)C(=O)O)C
SPB00826 	 C1(SCCS1)c1ccc(cc1)O
SPB01217 	 c1(n(nc(c1)C)[H])C(=O)OCC
SPB02288 	 c1(nc(sc1)C)C(=O)OCC
SPB02694 	 C1(N(c2c(O1)cccc2)CCC#N)=O
SPB02696 	 C1(N(c2c(O1)cccc2)CCC(=O)O)=O
SPB04706 	 c1(c2cc(on2)C)nc(cs1)C(C)=O
SPB05352 	 c1(nn(c(c1)C)C)C(=O)OCC
SPB07839 	 c1(ncccc1N)OC
SS00001 	 N1(c2ccc(N)cc2)CCN(CC1)C
SS00044 	 n1(c2c(cc(cc2)F)N)cncc1
TL00154 	 C(c1cc(N)ccc1)(=O)OC
TL00276 	 N1(c2cc(O)ccc2)CCOCC1
TL00298 	 c1(C(=O)OC)sccc1
TL00398 	 C(Oc1ccc(N)cc1)(F)(F)F
TL00659 	 c1(n(cnc1)C)C(=O)OC
TL00700 	 C(c1c(C)cccc1)(=O)OC
TL00757 	 c12c(cc(NC(=O)C)cc1)CCC2=O
TL00817 	 S(N1CCCCC1)(c1ccc(N)cc1)(=O)=O
TL00826 	 S(N1CCOCC1)(c1ccc(N)cc1)(=O)=O
XBX00319 	 c12c(ccc(c1)S(C)(=O)=O)nc(s2)N
pC2A03 	 C1CCN2C(=CN(C2=O)C3=CC=C(C=C3)Br)C1
